name,price_doll,price,url_img,inf
Toyota Highlander,$49500,4347585сом,https://im.mashina.kg/tachka/images//8/9/2/89233df570298b79943ed12ab2a5a1d6_240x180.jpg,"2021г.,2.5л.,автоматвнедорожник5дв.,гибридрульслева,40000км"
Lexus GS,$27500,2415325сом,https://im.mashina.kg/tachka/images//1/e/6/1e66b8665db9efb62211113baf38602e_240x180.jpg,"2016г.,2л.,автоматседан,бензинрульслева,50000км"
Voyah Free,$58000,5094140сом,https://im.mashina.kg/tachka/images//4/e/4/4e4d65de69059efd3d291308afdf2400_240x180.jpg,"2023г.,1.5л.,автоматвнедорожник5дв.,гибридрульслева"
Mercedes-Benz S-класс,$10000,878300сом,https://im.mashina.kg/tachka/images//a/f/5/af52bfa011108e7cc87b7782db83bb8f_240x180.jpg,"1993г.,5л.,автоматседан,бензинрульслева,189000км"
Lexus RX,$47500,4171925сом,https://im.mashina.kg/tachka/images//8/2/e/82e3275034891f445af56a393462ed04_240x180.jpg,"2019г.,2л.,автоматвнедорожник5дв.,бензинрульслева,60000км"
Toyota Corolla,$18800,1651204сом,https://im.mashina.kg/tachka/images//7/a/4/7a4305bcb28ff112ab100e208b3f7310_240x180.jpg,"2019г.,1.6л.,вариаторседан,бензинрульслева,160000км"
Geely Monjaro,$39000,3425370сом,https://im.mashina.kg/tachka/images//3/d/9/3d960cc0024d1f7e78667826c4eb2f12_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,45км"
Toyota Camry,$23300,2046439сом,https://im.mashina.kg/tachka/images//0/d/9/0d9980f97953097c3acb1263a3223a20_240x180.jpg,"2018г.,2.5л.,автоматседан,бензинрульслева,68000км"
Land Rover Range Rover Sport,$85000,7465550сом,https://im.mashina.kg/tachka/images//7/e/e/7ee51b561a9e51001ba376fd6f966c7c_240x180.jpg,"2018г.,3л.,автоматвнедорожник5дв.,бензинрульслева,29000км"
Lexus GS,$38500,3381455сом,https://im.mashina.kg/tachka/images//e/a/3/ea3b426a21fb3b3df72188046c309e05_240x180.jpg,"2016г.,2.5л.,вариаторседан,гибридрульслева,75000км"
BMW 5 серии,$38999,3425282сом,https://im.mashina.kg/tachka/images//b/6/f/b6fa9b3818b11c801d274149a7f53101_240x180.jpg,"2017г.,3л.,автоматседан,бензинрульслева,65000км"
